"seccion","variable","mes_publicacion","dia_publicacion","tipo_referencia","periodo_referencia"
"Sector Externo","Índices de Precios del Comercio Exterior - Mensual","Octubre",30,"mensual","2026-08"
"Sector Externo","Índices de Precios del Comercio Exterior - Mensual","Noviembre",30,"mensual","2026-09"
"Sector Externo","Índice de Tipo de Cambio Efectivo Real - Mensual","Agosto",31,"mensual","2026-07"
"Sector Externo","Índice de Tipo de Cambio Efectivo Real - Mensual","Septiembre",30,"mensual","2026-08"
"Sector Externo","Índice de Tipo de Cambio Efectivo Real - Mensual","Octubre",30,"mensual","2026-09"
"Sector Externo","Índice de Tipo de Cambio Efectivo Real - Mensual","Noviembre",30,"mensual","2026-10"
"Sector Externo","Reservas Internacionales y Liquidez en Moneda Extranjera","Agosto",31,"mensual","2026-07"
"Sector Externo","Reservas Internacionales y Liquidez en Moneda Extranjera","Septiembre",30,"mensual","2026-08"
"Sector Externo","Reservas Internacionales y Liquidez en Moneda Extranjera","Octubre",30,"mensual","2026-09"
"Sector Externo","Reservas Internacionales y Liquidez en Moneda Extranjera","Noviembre",30,"mensual","2026-10"
